pair_id	parent_a	parent_b	label	group_id	fold
Csf2rb2:Ncf4	Csf2rb2	Ncf4	0	Csf2rb2	3
Ctcf:Lamp1	Ctcf	Lamp1	0	Ctcf	2
Cux1:Cmtm7	Cux1	Cmtm7	0	Cmtm7	3
Cyb5a:2610001J05Rik	Cyb5a	2610001J05Rik	0	2610001J05Rik	3
Cyrib:Pvt1	Cyrib	Pvt1	0	Cyrib	3
Dcp1a:Nmd3	Dcp1a	Nmd3	0	Dcp1a	1
Dcstamp:Degs1	Dcstamp	Degs1	0	Dcstamp	3
Dennd1a:Zglp1	Dennd1a	Zglp1	0	Dennd1a	1
Dennd4c:Fbxl4	Dennd4c	Fbxl4	0	Dennd4c	3
Dhrs3:Tusc3	Dhrs3	Tusc3	1	Dhrs3	4
Disp1:Mtarc2	Disp1	Mtarc2	0	Disp1	1
Dnajc5:Dpep2	Dnajc5	Dpep2	0	Cmtm7	3
Dnajc5:Tpd52l2	Dnajc5	Tpd52l2	0	Cmtm7	3
Dnase2a:Kdm3b	Dnase2a	Kdm3b	0	Dnase2a	3
Dnmt3a:Ethe1	Dnmt3a	Ethe1	0	Dnmt3a	2
Dram1:Krtcap2	Dram1	Krtcap2	0	Dram1	0
Dtx2:Fam53a	Dtx2	Fam53a	1	Dtx2	1
Ehd1:B2m	Ehd1	B2m	1	Adam8	2
Eif3a:Dennd10	Eif3a	Dennd10	0	Dennd10	2
Eif4g2:Nono	Eif4g2	Nono	0	Eif4g2	2
Emc3:Ndufa7	Emc3	Ndufa7	0	Emc3	0
Emilin2:Memo1	Emilin2	Memo1	0	Emilin2	1
Epb41l1:Dlgap4	Epb41l1	Dlgap4	1	Dlgap4	4
Eprs:Exo1	Eprs	Exo1	0	Eprs	0
Evl:H2-Oa	Evl	H2-Oa	0	Evl	2
Exoc1:Npm1	Exoc1	Npm1	0	Exoc1	4
Exoc6b:Chchd3	Exoc6b	Chchd3	0	1810058I24Rik	0
Fbxw11:Rtn4	Fbxw11	Rtn4	0	Fbxw11	2
Fkbp8:Pirb	Fkbp8	Pirb	0	Fkbp8	0
Foxo3:Copz1	Foxo3	Copz1	0	Copz1	3
Frrs1:Blnk	Frrs1	Blnk	1	Blnk	4
Fubp1:Pgd	Fubp1	Pgd	0	Fubp1	1
G3bp1:Skp1	G3bp1	Skp1	0	G3bp1	4
Gab2:Mapk1	Gab2	Mapk1	0	Gab2	0
Gask1b:Sh3glb1	Gask1b	Sh3glb1	0	Gask1b	2
Gatm:Snx5	Gatm	Snx5	0	Ctsc	3
Gle1:Stk38	Gle1	Stk38	1	Gle1	3
Gltp:Ankrd13a	Gltp	Ankrd13a	1	Ankrd13a	4
Gna11:4932438A13Rik	Gna11	4932438A13Rik	0	4932438A13Rik	2
Gng12:Ipo8	Gng12	Ipo8	1	Gng12	3
Golga4:Bcl2a1b	Golga4	Bcl2a1b	0	Bcl2a1b	1
Gpatch8:Trp53	Gpatch8	Trp53	0	Gpatch8	3
Gpnmb:Arf2	Gpnmb	Arf2	1	Arf2	0
Gsdmd:Tmem106a	Gsdmd	Tmem106a	1	Gsdmd	1
Gusb:Degs1	Gusb	Degs1	0	Dcstamp	3
H2-Q7:Tmem179b	H2-Q7	Tmem179b	1	H2-Q7	2
Hexa:Clk3	Hexa	Clk3	0	Clk3	1
Hmbox1:Emc4	Hmbox1	Emc4	0	Emc4	1
Hnrnph3:Ddx50	Hnrnph3	Ddx50	0	Ddx50	2
Hnrnpll:Galm	Hnrnpll	Galm	0	Galm	1
Hsd17b4:Wdr36	Hsd17b4	Wdr36	1	Hsd17b4	3
Ifnar1:Necap2	Ifnar1	Necap2	0	Ifnar1	4
Ifngr2:Parp14	Ifngr2	Parp14	0	Ifngr2	0
Igf2r:Oas2	Igf2r	Oas2	0	Igf2r	4
Il7r:Pygm	Il7r	Pygm	0	Il7r	4
Inppl1:Il18bp	Inppl1	Il18bp	0	Il18bp	3
Iqgap1:Dusp10	Iqgap1	Dusp10	0	Dusp10	3
Irgm1:Ifi47	Irgm1	Ifi47	0	Ifi47	1
Itgav:AI182371	Itgav	AI182371	0	AI182371	1
Itpr1:Ccdc91	Itpr1	Ccdc91	0	Ccdc91	0
Itsn1:Gm34342	Itsn1	Gm34342	1	Gm34342	2
Jdp2:Rnaset2b	Jdp2	Rnaset2b	0	Jdp2	0
Kansl1:Lsm12	Kansl1	Lsm12	0	Kansl1	3
Kansl1:Rilpl2	Kansl1	Rilpl2	0	Kansl1	3
Kat5:Capg	Kat5	Capg	0	Capg	2
Khsrp:Prmt1	Khsrp	Prmt1	1	Khsrp	0
Kif16b:Taf4	Kif16b	Taf4	0	Kif16b	1
Klf6:Mitf	Klf6	Mitf	0	Klf6	0
Kmt2e:Dmxl1	Kmt2e	Dmxl1	0	Dmxl1	3
Knstrn:Ralgapa2	Knstrn	Ralgapa2	0	Knstrn	3
Lamb3:Mul1	Lamb3	Mul1	0	Lamb3	0
Laptm4a:Nrp2	Laptm4a	Nrp2	1	Akr1e1	2
Large1:Rpia	Large1	Rpia	0	Large1	0
Lcp1:Itm2b	Lcp1	Itm2b	0	Itm2b	2
Ldlrad3:1700012C14Rik	Ldlrad3	1700012C14Rik	0	1700012C14Rik	0
Lmf1:Srsf5	Lmf1	Srsf5	0	Lmf1	1
Lncpint:Gt(ROSA)26Sor	Lncpint	Gt(ROSA)26Sor	1	Gt(ROSA)26Sor	0
Lpxn:Sem1	Lpxn	Sem1	0	Lpxn	4
Lrp1:Mndal	Lrp1	Mndal	1	Lrp1	2
Macf1:Capzb	Macf1	Capzb	0	Capzb	1
Malt1:Capg	Malt1	Capg	0	Capg	2
Map2k1:Hif1a	Map2k1	Hif1a	0	Hif1a	2
Map3k1:Gm47283	Map3k1	Gm47283	0	Gm47283	1
Map3k2:St14	Map3k2	St14	0	Map3k2	3
Mapkapk2:Arhgef2	Mapkapk2	Arhgef2	0	Arhgef2	4
Mapkapk3:Rftn1	Mapkapk3	Rftn1	0	Mapkapk3	4
Marchf7:Mrpl15	Marchf7	Mrpl15	1	Marchf7	0
Marchf8:Dcp1b	Marchf8	Dcp1b	0	Dcp1b	0
Mcub:Amy1	Mcub	Amy1	0	Amy1	2
Med15:Eif4g1	Med15	Eif4g1	0	Eif4g1	4
Mef2a:Ftx	Mef2a	Ftx	0	Ftx	4
Mef2d:Blvrb	Mef2d	Blvrb	0	Ap5z1	1
Mertk:Aopep	Mertk	Aopep	0	Akr1e1	2
Mertk:Laptm4a	Mertk	Laptm4a	1	Akr1e1	2
Mia3:St6galnac4	Mia3	St6galnac4	0	Mia3	1
Mink1:Crat	Mink1	Crat	0	Crat	1
Mink1:Tmem65	Mink1	Tmem65	0	Crat	1
Mob1b:Ndufa10	Mob1b	Ndufa10	0	Mob1b	0
Mpdu1:Hk3	Mpdu1	Hk3	0	Hk3	2
Mrc1:Rsu1	Mrc1	Rsu1	0	Mllt10	1
Mrpl4:Slc29a1	Mrpl4	Slc29a1	0	Mrpl4	4
Mrs2:Mrps28	Mrs2	Mrps28	0	Arhgap10	0
Ms4a6b:Nudt19	Ms4a6b	Nudt19	0	Ms4a6b	2
Ms4a6d:Lair1	Ms4a6d	Lair1	0	Lair1	4
Ms4a7:Cog6	Ms4a7	Cog6	0	Cog6	3
Ms4a7:Nsf	Ms4a7	Nsf	0	Cog6	3
Mtpn:Rab9	Mtpn	Rab9	1	Ammecr1	1
Mtx1:1810009A15Rik	Mtx1	1810009A15Rik	0	1810009A15Rik	4
Mx1:Wars	Mx1	Wars	0	Mx1	0
Myo1b:Atp6v1h	Myo1b	Atp6v1h	0	Atp6v1h	1
Myo1e:Nbdy	Myo1e	Nbdy	0	Myo1e	3
Myo1g:Jmjd1c	Myo1g	Jmjd1c	0	Jmjd1c	2
Naglu:Arhgap9	Naglu	Arhgap9	0	Arhgap9	4
Napg:Garem1	Napg	Garem1	0	Garem1	1
Nav1:Cd84	Nav1	Cd84	1	Cd84	3
Ncaph2:Stx5a	Ncaph2	Stx5a	0	Ncaph2	1
Nceh1:Atp6v1h	Nceh1	Atp6v1h	1	Atp6v1h	1
Nceh1:Siah2	Nceh1	Siah2	0	Atp6v1h	1
Nckap1l:Fuca1	Nckap1l	Fuca1	0	Fuca1	3
Ncoa6:Armc7	Ncoa6	Armc7	0	Armc7	4
Ncstn:Setdb1	Ncstn	Setdb1	0	Ncstn	4
Ndor1:Cyhr1	Ndor1	Cyhr1	1	Cyhr1	0
Nedd4l:Lman1	Nedd4l	Lman1	0	Lman1	1
Nek7:Ube2d3	Nek7	Ube2d3	0	Nek7	2
Nf1:Arf6	Nf1	Arf6	0	Actr2	4
Nfat5:Arhgap10	Nfat5	Arhgap10	0	Arhgap10	0
Nfkb1:Cisd2	Nfkb1	Cisd2	1	Ccdc97	0
Nfkb1:Zranb2	Nfkb1	Zranb2	0	Ccdc97	0
Niban2:Ptges2	Niban2	Ptges2	0	Niban2	3
Nod1:Lyn	Nod1	Lyn	0	Lyn	1
Notch2:Rnf115	Notch2	Rnf115	0	Notch2	3
Npc1:Slx4	Npc1	Slx4	1	Npc1	3
Npc1:Ttc39c	Npc1	Ttc39c	1	Npc1	3
Npepps:Mocs2	Npepps	Mocs2	0	Mocs2	4
Nrp1:Spred1	Nrp1	Spred1	0	Nrp1	1
Nsd1:Tipin	Nsd1	Tipin	0	Nsd1	4
Nsdhl:Ahnak	Nsdhl	Ahnak	1	Ahnak	2
Nudt3:Anks1	Nudt3	Anks1	0	Anks1	0
Oas2:Rplp0	Oas2	Rplp0	0	Igf2r	4
Oas3:Trim34a	Oas3	Trim34a	1	Oas3	2
Odf2l:Gtf2b	Odf2l	Gtf2b	0	Gtf2b	4
Os9:Ube2d3	Os9	Ube2d3	0	Nek7	2
Osbpl8:Cpne2	Osbpl8	Cpne2	0	Cpne2	4
Osbpl8:Znhit6	Osbpl8	Znhit6	1	Cpne2	4
Osbpl9:Acot7	Osbpl9	Acot7	0	Acot7	2
Oxr1:Eif3h	Oxr1	Eif3h	0	Eif3h	4
Oxr1:Tomm20	Oxr1	Tomm20	0	Eif3h	4
Oxr1:Wdr70	Oxr1	Wdr70	0	Eif3h	4
P2rx4:2900089D17Rik	P2rx4	2900089D17Rik	0	2900089D17Rik	4
P4hb:Oas1a	P4hb	Oas1a	0	Abcc5	2
Pacc1:Atf3	Pacc1	Atf3	1	Atf3	1
Pag1:Ranbp9	Pag1	Ranbp9	0	Pag1	4
Papola:Gdap2	Papola	Gdap2	0	Gdap2	3
Parp11:Lyn	Parp11	Lyn	1	Lyn	1
Parp8:Usp25	Parp8	Usp25	0	Parp8	0
Pcca:Lgals3	Pcca	Lgals3	0	Lgals3	2
Pcmt1:Gcn1	Pcmt1	Gcn1	0	Gcn1	4
Pdap1:Atp5j2	Pdap1	Atp5j2	0	Atp5j2	3
Pdhx:Nsun2	Pdhx	Nsun2	0	Nsun2	3
Pdia3:Ubac1	Pdia3	Ubac1	0	Pdia3	2
Pdxk:Lyz2	Pdxk	Lyz2	0	Lyz2	1
Pea15a:Mtmr14	Pea15a	Mtmr14	0	Mtmr14	2
Pfkfb4:Anxa2	Pfkfb4	Anxa2	1	Anxa2	3
Pgap2:Rhog	Pgap2	Rhog	0	Abcc5	2
Pgap2:Tnip3	Pgap2	Tnip3	0	Abcc5	2
Piezo1:Isca2	Piezo1	Isca2	0	Isca2	0
Pigt:Cd63	Pigt	Cd63	0	Cd63	0
Pigu:Dynlrb1	Pigu	Dynlrb1	0	Dynlrb1	0
Pik3ap1:Prdx1	Pik3ap1	Prdx1	0	Pik3ap1	0
Pik3r5:Rspry1	Pik3r5	Rspry1	0	Pik3r5	3
Pik3r5:Spop	Pik3r5	Spop	0	Pik3r5	3
Pip4p2:Slc44a1	Pip4p2	Slc44a1	0	Pip4p2	4
Pkp4:Hacd1	Pkp4	Hacd1	0	Hacd1	3
Plaa:Oma1	Plaa	Oma1	0	Oma1	3
Plekha2:Rftn1	Plekha2	Rftn1	0	Mapkapk3	4
Plekhm2:4930455G09Rik	Plekhm2	4930455G09Rik	0	4930455G09Rik	4
Plekhm2:Map4	Plekhm2	Map4	0	4930455G09Rik	4
Plxna1:Rpap1	Plxna1	Rpap1	0	Plxna1	0
Pmm2:Morf4l1	Pmm2	Morf4l1	0	1810013L24Rik	1
Pnkp:Tyrobp	Pnkp	Tyrobp	0	Adam8	2
Polrmt:Rplp2	Polrmt	Rplp2	0	Polrmt	2
Por:Ctsl	Por	Ctsl	0	Ctsl	4
Ppard:Mapk14	Ppard	Mapk14	0	Mapk14	3
Pphln1:Phf20l1	Pphln1	Phf20l1	1	Phf20l1	2
Ppm1b:Gbp5	Ppm1b	Gbp5	0	Gbp5	2
Ppm1h:Idnk	Ppm1h	Idnk	0	Idnk	3
Ppp2r5c:Ddx24	Ppp2r5c	Ddx24	0	Ddx24	3
Ppp3cb:Pirb	Ppp3cb	Pirb	0	Fkbp8	0
Prcc:Pmvk	Prcc	Pmvk	0	Pmvk	4
Prkn:Tnfrsf21	Prkn	Tnfrsf21	0	Prkn	0
Prmt9:Arhgap10	Prmt9	Arhgap10	0	Arhgap10	0
Prpf39:Mrps9	Prpf39	Mrps9	0	Mrps9	1
Prrc2a:Lilr4b	Prrc2a	Lilr4b	0	Lilr4b	4
Psap:Lgals3	Psap	Lgals3	0	Lgals3	2
Psap:Tspan3	Psap	Tspan3	1	Lgals3	2
Psmb1:Nmt2	Psmb1	Nmt2	1	Nmt2	4
Psmc2:Pmpcb	Psmc2	Pmpcb	1	Pmpcb	4
Psmc3:Rnf38	Psmc3	Rnf38	0	Psmc3	2
Pspc1:9430038I01Rik	Pspc1	9430038I01Rik	0	9430038I01Rik	0
Pspc1:Micu2	Pspc1	Micu2	0	9430038I01Rik	0
Pstpip1:Lix1l	Pstpip1	Lix1l	1	Lix1l	3
Ptafr:Oas1g	Ptafr	Oas1g	0	Oas1g	4
Ptbp3:Dtnbp1	Ptbp3	Dtnbp1	0	Dtnbp1	0
Pten:Pik3ap1	Pten	Pik3ap1	0	Pik3ap1	0
Ptma:Cox17	Ptma	Cox17	0	Cox17	4
Ptpn6:Ptms	Ptpn6	Ptms	0	Ptms	4
Ptprj:1110051M20Rik	Ptprj	1110051M20Rik	0	1110051M20Rik	1
Ptprj:Tlcd2	Ptprj	Tlcd2	0	1110051M20Rik	1
Pxk:Elf1	Pxk	Elf1	0	Elf1	0
Rab11a:Cul1	Rab11a	Cul1	0	Cul1	0
Rab21:Wdr37	Rab21	Wdr37	0	Rab21	4
Rab31:Ppp4r1	Rab31	Ppp4r1	0	Phf11b	3
Rab8b:Ythdf3	Rab8b	Ythdf3	1	Rab8b	1
Rac1:Reep5	Rac1	Reep5	1	Ctnnbl1	0
Ralb:Lypla1	Ralb	Lypla1	0	Lypla1	3
Rasa1:Ahnak	Rasa1	Ahnak	0	Ahnak	2
Rasa3:Rab20	Rasa3	Rab20	0	Rab20	4
Rb1:Itm2b	Rb1	Itm2b	1	Itm2b	2
Rbks:Babam2	Rbks	Babam2	0	Babam2	1
Rbks:Fam193a	Rbks	Fam193a	0	Babam2	1
Rbl1:Hnrnpdl	Rbl1	Hnrnpdl	0	Atp2b1	2
Rcbtb2:Itm2b	Rcbtb2	Itm2b	0	Itm2b	2
Reep5:Ctnnbl1	Reep5	Ctnnbl1	1	Ctnnbl1	0
Reps1:Arhgap18	Reps1	Arhgap18	0	Arhgap18	0
Rftn1:Tgif1	Rftn1	Tgif1	1	Mapkapk3	4
Rhbdd1:Mrps9	Rhbdd1	Mrps9	0	Mrps9	1
Ric1:Ppcdc	Ric1	Ppcdc	0	Ppcdc	2
Rmdn1:Kras	Rmdn1	Kras	0	Kras	3
Rnaseh2b:Cd84	Rnaseh2b	Cd84	0	Cd84	3
Rnf130:Abhd12	Rnf130	Abhd12	0	Abhd12	0
Rnf130:Dynll2	Rnf130	Dynll2	0	Abhd12	0
Rnf130:Plcl2	Rnf130	Plcl2	0	Abhd12	0
Rnf41:Rbms2	Rnf41	Rbms2	0	Rbms2	2
Rsrp1:Tor1aip2	Rsrp1	Tor1aip2	0	Rsrp1	0
Rsu1:Mllt10	Rsu1	Mllt10	1	Mllt10	1
Rtf1:Rmdn3	Rtf1	Rmdn3	1	Rmdn3	4
Rtraf:Psmb2	Rtraf	Psmb2	1	Psmb2	4
Rufy3:Grsf1	Rufy3	Grsf1	0	Grsf1	0
Runx1:Mrps6	Runx1	Mrps6	0	Mrps6	3
Runx1:Ubac2	Runx1	Ubac2	1	Mrps6	3
Sbds:Guf1	Sbds	Guf1	0	Guf1	1
Sbno1:Rhog	Sbno1	Rhog	1	Abcc5	2
Scd2:Wdr26	Scd2	Wdr26	0	Scd2	3
Sdf2:Rab8a	Sdf2	Rab8a	0	Rab8a	4
Sec22b:Rap1a	Sec22b	Rap1a	1	Rap1a	1
Sema4d:Aldoa	Sema4d	Aldoa	0	Aldoa	2
Septin7:Tmem120a	Septin7	Tmem120a	1	Septin7	0
Sf3b1:Fpr2	Sf3b1	Fpr2	0	Arf2	0
Sf3b1:Gpnmb	Sf3b1	Gpnmb	0	Arf2	0
Sh3bp2:Tnip2	Sh3bp2	Tnip2	0	Sh3bp2	3
Sh3bp5:Dnajc15	Sh3bp5	Dnajc15	0	Dnajc15	1
Sh3gl1:Nnt	Sh3gl1	Nnt	0	Nnt	2
Sh3pxd2b:Rab2a	Sh3pxd2b	Rab2a	0	Asph	3
Sh3tc1:C1qb	Sh3tc1	C1qb	0	C1qb	4
Slc16a10:Rpf2	Slc16a10	Rpf2	1	Rpf2	3
Slc16a10:Tpd52	Slc16a10	Tpd52	1	Rpf2	3
Slc17a5:Ifi204	Slc17a5	Ifi204	0	Acadm	3
Slc23a2:Ppp1r1c	Slc23a2	Ppp1r1c	0	Ppp1r1c	4
Slc25a13:Sem1	Slc25a13	Sem1	1	Lpxn	4
Slc25a39:Nup88	Slc25a39	Nup88	0	Nup88	2
Slc28a2:Eml4	Slc28a2	Eml4	0	Eml4	3
Slc37a3:Parp12	Slc37a3	Parp12	0	Parp12	2
Slc4a7:Psmd1	Slc4a7	Psmd1	1	Psmd1	4
Slc7a2:Mtus1	Slc7a2	Mtus1	0	Mtus1	4
Slc7a8:Gch1	Slc7a8	Gch1	1	Copb2	0
Slc9a7:Amn1	Slc9a7	Amn1	1	Amn1	3
Smad3:Pnrc1	Smad3	Pnrc1	1	Pnrc1	4
Smad4:Dym	Smad4	Dym	1	Dym	1
Smg1:Picalm	Smg1	Picalm	0	Picalm	4
Smu1:Chmp5	Smu1	Chmp5	0	Chmp5	0
Snapc3:N4bp2l2	Snapc3	N4bp2l2	0	N4bp2l2	1
Snd1:Lmf1	Snd1	Lmf1	1	Lmf1	1
Snd1:Mkln1	Snd1	Mkln1	0	Lmf1	1
Snrnp200:Kansl2	Snrnp200	Kansl2	0	Kansl2	0
Snrpd3:Ankrd40	Snrpd3	Ankrd40	1	Ankrd40	0
Snx5:Ctsc	Snx5	Ctsc	1	Ctsc	3
Soat1:Topbp1	Soat1	Topbp1	0	Abl2	0
Sorl1:Mthfs	Sorl1	Mthfs	0	Atp1b3	1
Sp100:A630001G21Rik	Sp100	A630001G21Rik	0	A630001G21Rik	3
Spaca6:4933404O12Rik	Spaca6	4933404O12Rik	0	4933404O12Rik	0
Spast:Memo1	Spast	Memo1	0	Emilin2	1
Spg11:Eif2s2	Spg11	Eif2s2	0	Eif2s2	3
Spg21:Acadm	Spg21	Acadm	0	Acadm	3
Sppl2a:Psma3	Sppl2a	Psma3	1	Psma3	3
Sptlc2:Azi2	Sptlc2	Azi2	0	Azi2	4
Sptlc2:Ylpm1	Sptlc2	Ylpm1	0	Azi2	4
Srek1:Tcp1	Srek1	Tcp1	0	Srek1	4
Srpk1:Esd	Srpk1	Esd	0	Esd	0
Ssh1:Acadm	Ssh1	Acadm	0	Acadm	3
Ssh1:Ifi204	Ssh1	Ifi204	0	Acadm	3
St18:Nrf1	St18	Nrf1	0	Nrf1	1
St3gal1:Rab5c	St3gal1	Rab5c	0	Rab5c	2
St8sia4:Fam174a	St8sia4	Fam174a	1	Fam174a	3
Stambpl1:Sgms1	Stambpl1	Sgms1	0	Sgms1	1
Stau2:Eloc	Stau2	Eloc	0	Eloc	3
Stimate:Tkt	Stimate	Tkt	0	Stimate	1
Stk10:C2cd2	Stk10	C2cd2	0	C2cd2	3
Strn3:Fam180a	Strn3	Fam180a	0	Fam180a	0
Strn:Fez2	Strn	Fez2	0	Fez2	0
Stxbp1:Galk2	Stxbp1	Galk2	0	Galk2	0
Stxbp3:Asb6	Stxbp3	Asb6	0	Asb6	2
Sympk:Tyrobp	Sympk	Tyrobp	0	Adam8	2
Syne3:1700028I16Rik	Syne3	1700028I16Rik	1	1700028I16Rik	4
Syngr1:Hnrnpdl	Syngr1	Hnrnpdl	0	Atp2b1	2
Tanc2:Rnaset2b	Tanc2	Rnaset2b	0	Jdp2	0
Tapbp:Tap1	Tapbp	Tap1	0	Tap1	1
Tars:Wdr70	Tars	Wdr70	0	Eif3h	4
Tbc1d23:Sirt5	Tbc1d23	Sirt5	1	Aoah	1
Tbc1d23:Xdh	Tbc1d23	Xdh	1	Aoah	1
Tbcb:Prkar1a	Tbcb	Prkar1a	1	Prkar1a	1
Tbk1:Erp27	Tbk1	Erp27	0	Erp27	2
Tbxas1:Bola3	Tbxas1	Bola3	0	Bola3	1
Tbxas1:Bpgm	Tbxas1	Bpgm	1	Bola3	1
Tcirg1:Sart1	Tcirg1	Sart1	1	Sart1	3
Tec:Clec4a1	Tec	Clec4a1	1	Clec4a1	3
Tep1:Slc4a2	Tep1	Slc4a2	0	Slc4a2	4
Tgm2:1110038F14Rik	Tgm2	1110038F14Rik	0	1110038F14Rik	0
Thada:Tcf20	Thada	Tcf20	0	Tcf20	4
Thbs1:Slc24a3	Thbs1	Slc24a3	0	Slc24a3	0
Tiam1:Hcls1	Tiam1	Hcls1	1	Hcls1	2
Tm9sf2:Mad1l1	Tm9sf2	Mad1l1	0	Mad1l1	2
Tmbim6:Rmc1	Tmbim6	Rmc1	0	Rmc1	4
Tmcc3:Tnip3	Tmcc3	Tnip3	0	Abcc5	2
Tmem134:Gpnmb	Tmem134	Gpnmb	1	Arf2	0
Tmem134:H2-Q4	Tmem134	H2-Q4	1	Arf2	0
Tmem181a:Bin2	Tmem181a	Bin2	0	Bin2	3
Tmem38b:Uty	Tmem38b	Uty	1	Arhgap30	2
Tmem63a:Aim2	Tmem63a	Aim2	1	Aim2	3
Tmem67:Chaserr	Tmem67	Chaserr	0	Chaserr	4
Tmx1:2700049A03Rik	Tmx1	2700049A03Rik	0	2700049A03Rik	2
Tnfaip3:Traf1	Tnfaip3	Traf1	0	Tnfaip3	0
Tnfrsf1b:Dhrs3	Tnfrsf1b	Dhrs3	1	Dhrs3	4
